Model,Optimizer,Accuracy,F1_Score,Best_Val_F1
AdvancedDNN,adam,0.9495,0.9610241138145323,0.9901077107903606
AdvancedDNN,rmsprop,0.688,0.7932933081923443,0.894393331222448
AdvancedDNN,sgd_momentum,0.891,0.9263289237535309,0.9684857338109715
TabularLSTM,adam,0.7255,0.8210468037413771,0.9310853224986827
TabularLSTM,rmsprop,0.9645,0.9470707559175363,0.21952688280971894
TabularLSTM,sgd_momentum,0.013,0.00033366238894373153,0.26674724192618016
TabularTransformer,adam,0.9645,0.9470707559175363,0.8145616763770274
TabularTransformer,rmsprop,0.009,0.00016055500495540137,0.21952688280971894
TabularTransformer,sgd_momentum,0.851,0.9028116037433047,0.9410837621220504
